YEAR,total_crash_damage,CRASH_ID
2015,238713.91000000009,2916
2015,10553.82,15218
2015,1277996.6700000004,325
2015,22050.380000000001,12283
2015,11241.91,4258
2015,17945.059999999998,11436
2015,33730.489999999998,5766
2015,36068.790000000001,9198
2015,155776.06999999998,327
2015,14502.339999999998,12146
2015,18874,4869
2015,13474.27,11577
2015,313243.42999999993,2007
2015,13628.450000000001,12121
2015,7705.9899999999998,1884
2015,7522.579999999999,11603
2015,25598.269999999997,4535
2015,29804.470000000005,11643
2015,24438.18,4087
2015,14644.350000000002,12080
2015,14858.710000000001,6215
2015,6603.8100000000004,12061
2015,1524.9000000000001,5375
2015,1580.27,15004
2015,19678.469999999994,7268
2015,6326.1900000000005,12036
2015,2865.4700000000003,5402
2015,0,15217
2015,28185.77,1197
2015,0,12018
2015,99868.310000000012,1529
2015,0,15016
2015,2870380.6799999983,542
2015,4617.1499999999996,15017
2015,23676.779999999999,8035
2015,14137.52,15018
2015,290296.37999999983,544
2015,9888.0600000000013,12298
2015,610912.58999999985,807
2015,9765.7900000000009,14960
2015,174128.09000000003,2483
2015,18649.779999999999,12353
2015,90481.890000000014,3404
2015,10372.49,12385
2015,269559.50000000006,321
2015,2103.3299999999999,14908
2015,88889.819999999992,2290
2015,61196.409999999996,12630
2015,17110.920000000002,5976
2015,10160.27,11066
2015,2734485.949999996,551
2015,7233.3700000000008,14917
2015,26837.52,6434
2015,5823.25,11099
2015,123655.05999999998,4428
2015,10067.35,12538
2015,63943.729999999996,3602
2015,31941.400000000001,9061
2015,105769.41,1020
2015,79650.309999999983,9065
2015,13119.710000000001,6717
2015,4850.2200000000003,15019
2015,65546.050000000003,2889
2015,20623.480000000003,14272
2015,18446.079999999998,3403
2015,30634.420000000002,11204
2015,4075856.8099999945,133
2015,2193.73,14277
2015,160415.54999999999,5849
2015,7168.6999999999998,14419
2015,237784.33999999997,131
2015,33556.150000000001,8497
2015,32867.139999999999,6533
2015,21542.860000000001,12410
2015,860686.16999999958,128
2015,23094.039999999997,14950
2015,52595.210000000014,1239
2015,16862.129999999997,11300
2015,181337.91000000003,1435
2015,32883.840000000004,11315
2015,186590.88,1711
2015,8170.4899999999998,9719
2015,102874.28,1244
2015,1944.48,15020
2015,3356.2800000000007,6843
2015,12778.529999999999,14332
2015,33984.159999999996,7109
2015,4800.6800000000003,15021
2015,13944.810000000001,6776
2015,0,15043
2015,8255.2999999999993,6326
2015,10505.91,15044
2015,24618.689999999995,2460
2015,0,15045
2015,108375.98000000001,2116
2015,18494.740000000002,15046
2015,73465.779999999999,7179
2015,7740.6800000000003,15047
2015,1505.77,781
2015,6995.9899999999998,15048
2015,199878.87,2596
2015,0,15049
2015,65822.62999999999,1890
2015,789.87,15050
2015,129839.69999999998,1806
2015,2217.4099999999999,15042
2015,7251.0500000000002,7965
2015,0,15051
2015,38619.759999999995,4712
2015,3263.5699999999997,15053
2015,40625.590000000004,5102
2015,4220.0600000000004,15054
2015,8119.1400000000003,5769
2015,0,15055
2015,884510.64999999932,2000
2015,6488.1800000000003,15056
2015,29606.280000000002,7325
2015,5834.7900000000009,15057
2015,32458.200000000001,4002
2015,0,15058
2015,173450.12999999992,194
2015,5814.4500000000007,15059
2015,1393.96,6790
2015,63952.800000000017,8369
2015,8870.7900000000009,6951
2015,13526.57,15052
2015,11533.5,8069
2015,6884.0500000000011,14248
2015,22960.849999999999,4610
2015,1103.1300000000001,15041
2015,21163.02,476
2015,12991.950000000001,15039
2015,199393.36999999997,2703
2015,1742.53,15022
2015,30160.899999999998,2569
2015,12819.98,15023
2015,331690.98999999999,843
2015,7650.7299999999996,15024
2015,116092.48,1059
2015,22479.939999999999,15025
2015,38480.589999999997,3943
2015,3570.77,15026
2015,132132.49000000002,2526
2015,1810.6400000000001,15027
2015,51201.040000000001,2091
2015,2434.77,15028
2015,45704.509999999995,1057
2015,0,15029
2015,137874.81,3484
2015,0,15040
2015,2968.3599999999997,6247
2015,16683.68,15030
2015,128402.23000000003,4765
2015,0,11981
2015,13692.599999999999,3075
2015,1314.6900000000001,15032
2015,37430.259999999995,3690
2015,6447.8000000000002,15033
2015,7436.2900000000009,8050
2015,5307.3500000000004,15034
2015,27204.720000000001,3785
2015,1410.6799999999998,15035
2015,99762.410000000003,3877
2015,0,15036
2015,154936.88000000003,260
2015,20224,15037
2015,219937.17999999993,259
2015,0,15038
2015,223823.89999999997,257
2015,7267.7199999999993,15031
2015,246886.09999999995,2263
2015,17421.41,15060
2015,99814.12000000001,858
2015,21879.970000000001,11029
2015,78403.12999999999,4346
2015,29924.810000000001,10985
2015,114776.26999999999,6034
2015,3195.8099999999999,9960
2015,29685.040000000001,7604
2015,27543.400000000001,9972
2015,128276.93000000001,1487
2015,20481.880000000001,9987
2015,11188.92,3915
2015,8160.0799999999999,13581
2015,96089.580000000002,5958
2015,11410.220000000001,10000
2015,128931.25000000001,3120
2015,10026.91,13567
2015,2389497.7099999995,463
2015,7257.0499999999993,14038
2015,60056.699999999983,4197
2015,2457.6199999999999,14046
2015,204347.78,2247
2015,0,9477
2015,78984.030000000013,1614
2015,14795.139999999998,14720
2015,520245.88000000006,1165
2015,17364.52,14075
2015,12179.09,5495
2015,0,13533
2015,60079.760000000002,1867
2015,27450.48,10060
2015,6087518.239999989,195
2015,7288.8800000000001,13509
2015,11349.309999999999,6810
2015,26814.760000000002,13457
2015,9821.4599999999991,5507
2015,28779.189999999999,10147
2015,100648.77,4245
2015,40478.260000000002,10165
2015,4026.0299999999997,5074
2015,50448.870000000003,9539
2015,244905.77000000002,470
2015,48301.769999999997,14692
2015,41567.180000000008,5276
2015,2833.04,13623
2015,82565.630000000005,1520
2015,3663.0700000000002,13981
2015,171974.52000000005,1134
2015,18688.41,13839
2015,15606.889999999999,4746
2015,10097.049999999999,9688
2015,19357.189999999995,4314
2015,12579.02,13864
2015,21562.709999999999,7404
2015,24983.369999999995,9674
2015,75615.819999999992,1143
2015,13463.010000000002,13787
2015,11567.82,6021
2015,5441.1999999999998,13761
2015,13387.639999999999,3376
2015,5448.0500000000002,9800
2015,9652.2600000000002,6764
2015,48485.620000000003,14669
2015,13276.820000000002,7923
2015,3609.7399999999998,8910
2015,312454.34999999986,1608
2015,25863.920000000002,13892
2015,87089.450000000041,1432
2015,17884.93,13908
2015,17817.18,4592
2015,0,13719
2015,549405.62000000023,443
2015,2017.0599999999999,14623
2015,698598.67999999982,2985
2015,20012.419999999998,13698
2015,91804.929999999993,4050
2015,3319.9000000000001,13696
2015,10028.08,6743
2015,24381.889999999999,13686
2015,19348.200000000001,5539
2015,17198.939999999999,13932
2015,4086.5300000000002,7454
2015,27518.66,9923
2015,79954.809999999998,1775
2015,41409.420000000006,8840
2015,204696.52000000002,1395
2015,30368.869999999999,10203
2015,47330.310000000005,4652
2015,0,14754
2015,28841.559999999998,7019
2015,2850.29,10206
2015,98961.749999999971,1331
2015,7174.3199999999997,10665
2015,38548.489999999998,3007
2015,9434.2999999999993,12970
2015,48736.240000000005,6369
2015,1784.22,9303
2015,63548.130000000005,1544
2015,8815.7100000000009,12950
2015,18387.119999999999,4930
2015,18475.239999999998,12917
2015,495964.86999999994,3360
2015,5708,10754
2015,65317.539999999994,7451
2015,8457.7399999999998,12875
2015,633108.14000000025,64
2015,16375.07,10783
2015,472209.27999999991,63
2015,17403.43,12986
2015,240919.17999999996,630
2015,55558.859999999993,9286
2015,36608958.48000019,62
2015,10617.290000000001,10833
2015,16146.639999999999,2616
2015,21331.630000000001,12816
2015,33900.380000000005,2388
2015,11787.1,9013
2015,84733.649999999965,2795
2015,13221.280000000001,12777
2015,155078.34999999998,1312
2015,0,9275
2015,1325252.7199999993,624
2015,3833.0999999999999,14889
2015,9724.6399999999994,2078
2015,3832.0900000000001,14892
2015,216259.90999999995,705
2015,20882.920000000002,9033
2015,27856.240000000002,7999
2015,13189.689999999999,14475
2015,105704.07000000002,1379
2015,27166.599999999999,12668
2015,35269.57,3863
2015,22827.989999999998,9317
2015,12586.75,2992
2015,6766.5399999999991,10566
2015,198916.88999999998,1681
2015,7723.3500000000004,13390
2015,89243.149999999994,6140
2015,20912.340000000004,13387
2015,40089.739999999998,2344
2015,4412.7200000000003,14142
2015,105457.71999999999,4199
2015,7269.4699999999993,10247
2015,22300.329999999998,7698
2015,35878.32,13333
2015,87507.459999999992,4912
2015,30133.240000000005,14767
2015,62018.379999999997,7693
2015,11309.35,10291
2015,53917.610000000001,682
2015,4501.9400000000005,13293
2015,236034.50999999995,395
2015,6318.6900000000005,10616
2015,3434.29,8176
2015,15114.219999999999,13275
2015,164313.54999999999,4112
2015,44583.479999999996,14551
2015,1027816.9299999999,700
2015,15305.52,10445
2015,97228.64999999998,3242
2015,19764.189999999999,14808
2015,30832.019999999997,5311
2015,20657.209999999999,10507
2015,93474.150000000009,5870
2015,21733.139999999999,13104
2015,23521.400000000001,7980
2015,142366.84999999995,8639
2015,88427.210000000006,7460
2015,2528.21,13100
2015,356187.72000000003,1673
2015,4887.6100000000006,13097
2015,19024.650000000001,6970
2015,20133.580000000002,13274
2015,60853.160000000003,391
2015,3321.4200000000001,15061
2015,42265.639999999999,4657
2015,5805.6700000000001,12488
2015,745165.25999999943,942
2015,1806.27,15063
2015,4566295.5399999944,621
2015,15312.9,15191
2015,13535.279999999999,7873
2015,4843.6099999999997,15190
2015,39157.779999999999,1081
2015,2488.5599999999999,15128
2015,10626.950000000001,4269
2015,3029.0700000000002,15130
2015,34827.240000000005,2655
2015,6248.2200000000003,15189
2015,26067.009999999998,4046
2015,3814.4299999999998,15131
2015,1965.4100000000001,1990
2015,6563.7799999999997,15188
2015,42071.280000000006,7244
2015,1622.5300000000002,15132
